"","datetime","city","state","country","shape","DurationSeconds","DurationHrsMins","comments","DatePosted","latitude","longitude","X"
"23144",2020-12-27,"","","","","0","","","Dark gray smoky shaped saucer",0,0,0
"23250",2019-12-28,"","sc","","","0","fireball","under 2 minutes","As my ex-husband and I were driving to NC (North on I85)&#44 I was looking out the car and noticed 2 very bright orange red (what appeared",0,0,0
"23368",2020-12-28,"","","","","0","","","Just happened 2 triangle shapped objects spotted over fair oaks &#44a between Holister and San Juan heading east bound t word sunrise blvd",0,0,0
"23463",2020-12-29,"","nh","","","0","","","website issue",0,0,0
"23621",2019-12-30,"","","","","0","","","Woman repts. very peculiar &quot;lights in a circle&#44&quot; which &quot;shined on her.&quot;",0,0,0
"23731",2020-12-30,"","in","","","0","formation","3 hours","Unnatural activity recorded on weather radar",0,0,0
"23923",2020-12-31,"","","","","0","","","Newspaper article",0,0,0
"24695",2020-12-04,"","","","","0","unknown","20 minutes","black trails in the sky moving oddly",0,0,0
"25542",2020-01-26,"","","","","0","","","I followed an FAA regulation&#44 and you went back on your word for me to remain anonymous. Now you&#39ve been removed from the 7110.65. HA&#33",0,0,0
"25702",2020-12-07,"","","","","0","circle","","it was round made nosies i saw it uabove the sky.",0,0,0
"25814",2020-12-07,"","","","","0","","","I was looking at a friends house and tilted the view up(north) and noticed what appears to be a classic shape of a &quot;space ship&quot;.",0,0,0
"26184",2020-01-28,"","ny","","","0","circle","5-10 min.","((HOAX??  Possible student report.  PD))  Close encounter with a UFO&#33&#33&#33",0,0,0
"27423",2020-01-05,"","","","","0","","","I just submitted a report about an hour or so ago&#44 and I decided to leaf through posted material on your page&#44 specifically listings in",0,0,0
"27464",2020-01-05,"","","","","0","fireball","20 mins","Dear Sir/Madam&#44    The Dutch agency of unidentified objects did not respond yet to my question. The Dutch weather agency did and they n",0,0,0
"28082",2020-01-08,"","","","","0","","","correction to flying refrigerator",0,0,0
"28281",2020-01-09,"","ga","","","0","unknown","1 hour","What I seen was on weather.gov at 18:45 01/09/2013.",0,0,0
"28459",2020-02-10,"","","","","0","","1 second","On the tv series Fix my family episode 105  on track 22 Isawwhat appears to be a UFO.  It briefly appeared Zipping from right to left.",0,0,0
"29673",2020-02-15,"","nm","","","0","egg","15 min","We were driving along the interstate 20/10 westbound heading to Arizona when we look to the South and see an odd shape in the sky. It d",0,0,0
"30341",2020-02-19,"","","","","0","","","You may not get this information.  But I will try Yesterday at 9am Hawaiian time.AN object flew over our houses.  Shook the water tanks",0,0,0
"30416",2020-02-19,"","","","","0","","2 minutes","Lights at night",0,0,0
"31153",2020-02-22,"","","","","0","","3 seconds","U.F.O. spotted in a major U.S. movie ?",0,0,0
"31307",2020-02-23,"","vt","","","0","unknown","","((NUFORC Note:  Possible twinkling stars?  PD))  I have seen and still see the same lights that my neighbor in Littleton&#44 NH saw.",0,0,0
"32197",2020-02-28,"","","","","0","","","If you look at this web site you will see something over Lake Michigan. Wierd..  ((NUFORC Note:  Patch of missing data; not UFO.  PD))",0,0,0
"32674",2020-02-05,"","","","","0","flash","","2/5/2001 While I was walking home I saw a flash light in the sky and it dissapeared after 2 seconds.",0,0,0
"33133",2020-02-07,"","tx","","","0","disk","seconds","Saucer-like craft with a strip of red light moving back and forth&#44 hovering above a gas well site.",0,0,0
"33441",2020-02-09,"","va","","","0","circle","20 secs","((HOAX??))  I saw this thing just fall out of the sky like it was a shooting star&#44 but it Didnt go away quickly.",0,0,0
"34183",2020-03-01,"","pa","","","0","teardrop","15 minutes","I saw 3 lights circling in sky in PA on 15 north route as soon as I270 North ends. I saw it for 15/20 min and then it disappeared.",0,0,0
"34730",2020-03-14,"","","","","0","","","S16923 is a hoax.",0,0,0
"34868",2020-03-14,"","ar","","","0","fireball","4 seconds","Burning ball with tail&#44like a comet&#44 turning from brite white then blue to brite green",0,0,0
"35106",2020-03-15,"","","","","0","oval","6 seconds","ufo on movie film",0,0,0
"35299",2020-03-15,"","","","","0","","folsom lake/eldorado hill","My son and I were going for a late night Taco Bell run on the evening of Saturday the 15th at 9:50 pm.&#160; As we drove East on Central Ave",0,0,0
"35395",2020-03-16,"","nm","","","0","unknown","","Thought it was a shooting star but it kept getting larger then stopped and disappeared",0,0,0
"35912",2020-03-19,"","nv","","","0","changing","","Hi&#44 this isn&#39t an actual sighting&#44 but rather a warning.  I take this subject matter seriously and a message board I visit recently beg",0,0,0
"36692",2020-03-22,"","","","","0","","","http://www.youtube.com/watch?v=gnuo32-tc3w",0,0,0
"36722",2020-03-22,"","me","","","0","triangle","15 seconds","Triangle shaped craft moves silently accross the sky.",0,0,0
"37292",2020-03-26,"","ga","","","0","","","STEALTH BLIMP SEEN IN GA ALSO KNOWN AS BLACK PROJECT",0,0,0
"37360",2020-03-26,"","ks","","","0","sphere","15 seconds","THE LARGEST ORB EVER SEEN AT 3:30 IN THE AFTERNOON.  LIKE THE MOON PASSING BY",0,0,0
"37979",2020-03-30,"","ms","","","0","sphere","5 minutes","White luminous Sphere",0,0,0
"38089",2019-03-31,"","","","","0","","","Please refer to my report I reported to you 6/7/2001 and you posted on 8/5/2001.  Anyway&#44 do you know of any doctor that would remove t",0,0,0
"38196",2020-03-31,"","nv","","","0","teardrop","","unusual  flying objects taken by flash earth satalite  over nevada highway",0,0,0
"39430",2020-03-09,"","ut","","","0","circle","5-8 sec","Circles in triangle formation flying east to west&#44 very fast over Orem Utah.",0,0,0
"39597",2020-04-10,"","","","","0","","","10 silver disks moving rapidly along the front range in colorado springs",0,0,0
"39793",2020-04-11,"","","","","0","rectangle","about 30 seconds","Saw UFO enter &amp;quot;Worm-hole.",0,0,0
"40020",2019-04-01,"","","","","0","triangle","3 minutes","around five years ago&#44 while on one of my many engineering rated work assignments&#44 I spotted three very large triangular objects",0,0,0
"40429",2019-04-13,"","","","","0","","","Man repts. very strange obj. in night sky.  (Facts unclear.)",0,0,0
"42857",2019-04-23,"","mo","","","0","","1 sec.","Tel. Rept.: Law enforcement officer reports co-worker witnessed a short-lived &quot;line of light&quot; suddenly appear in night sky&#44 disappears.",0,0,0
"43661",2020-04-27,"","","","","0","","","You might want to check language from entry&#44 4-27&#44 a very bad word got through. third line up from bottom.",0,0,0
"44161",2019-04-30,"","la","","","0","diamond","120 seconds","Diamond shaped object&#44 with accompanying lights (of all colors) and under girding.",0,0,0
"46677",2020-05-13,"","","","","0","","","oh if you receive a prank call more than three times you can sue the caller as long as you can identifie the pranker",0,0,0
"46787",2020-05-14,"","az","","","0","triangle","5 minutes","Lights in the shape of a Triangle.",0,0,0
"46810",2020-05-14,"","tx","","","0","triangle","all day","Black Triangular Craft at Air Base  ((NUFORC Note:  Anonymous report.  PF))",0,0,0
"46923",2019-05-15,"","az","","","0","disk","10 minutes","Driving late at night in the middle of the desert&#44 I stopped and watched a spaceship hovering close enough to see windows circling it",0,0,0
"47286",2020-05-15,"","","","","0","","","Two Completely Different Sightings Years Apart in Same Position in Sky",0,0,0
"47376",2019-05-16,"","","","","0","unknown","","UFO flying low over buildings. Silvery-grey in color with a silvery-green line going diagonally through it.",0,0,0
"47418",2020-05-16,"","wi","","","0","fireball","1 minute","Green Fireball over Kenohsa",0,0,0
