"","datetime","city","country","shape"
"136",2020-10-10,"albuquerque","us","light"
"137",2020-10-10,"bickerton (near wetherby) (uk/england)","","unknown"
"138",2020-10-10,"gleason","us","sphere"
"139",2020-10-10,"mahwah","us","triangle"
"140",2020-10-10,"worthington st. forest","","other"
"141",2020-10-10,"portage la prairie (canada)","ca","changing"
"142",2020-10-10,"terre haute","us","sphere"
"143",2020-10-10,"indianapolis","us","oval"
"144",2020-10-10,"nobel (canada)","ca","unknown"
"145",2020-10-10,"morgantown","us","circle"
"146",2020-10-10,"berkeley","us","unknown"
"147",2020-10-10,"rock island","us","sphere"
"148",2020-10-10,"kedainiai (lithuania)","","oval"
"149",2020-10-10,"chateauqua","","formation"
"150",2020-10-10,"ripley","us","circle"
"151",2020-10-10,"faribault","us","flash"
"152",2020-10-10,"mansfield","us","light"
"153",2020-10-10,"columbia","us","light"
"154",2020-10-10,"gleason","us","sphere"
"155",2020-10-10,"seattle","us","other"
"156",2020-10-10,"apache junction","us","other"
"157",2020-10-10,"north miami beach","us","oval"
"158",2020-10-10,"edgewater","us",""
"159",2020-10-10,"los angeles","us","egg"
"160",2020-10-10,"loretto","us","triangle"
"161",2020-10-10,"newtown (uk/wales)","gb","formation"
"162",2020-10-10,"lewisburg","us","unknown"
"163",2020-10-10,"north miami beach","us","other"
"164",2020-10-10,"east wenatchee","us","light"
"165",2020-10-10,"hendersonville","us","light"
"166",2020-10-10,"brainerd","us","disk"
"167",NA,"franklin","us","disk"
"168",2020-10-10,"pennington","us","diamond"
"169",2020-10-10,"san francisco","us","triangle"
"170",2020-10-10,"blairsville","us","unknown"
"171",2020-10-10,"savannah","us","light"
"172",2020-10-10,"waynesboro","us","triangle"
"173",2020-10-10,"unsure","","fireball"
"174",2020-10-10,"bray","us","other"
"175",2020-10-10,"plymouth (devonshire) (uk/england)","gb","formation"
"176",2020-10-10,"waycross","us","light"
"177",2020-10-10,"wolfforth","us","disk"
"178",2020-10-10,"lyndhurst","us","unknown"
"179",2020-10-10,"knik","us","triangle"
"180",2020-10-10,"lebanon","us","light"
"181",2020-10-10,"stockbridge","us","changing"
"182",2020-10-10,"denver","us","changing"
"183",2020-10-10,"jacksonville","us","sphere"
"184",2020-10-10,"bakersfield","us","circle"
